name,x,y
巴沟,116.294,39.9742
苏州街,116.306,39.9756
海淀黄庄,116.318,39.976
知春里,116.329,39.9763
知春路,116.34,39.9765
西土城,116.354,39.9762
牡丹园,116.37,39.9763
健德门,116.381,39.9767
北土城,116.394,39.9769
安贞门,116.406,39.977
惠新西街南口,116.418,39.977
芍药居,116.436,39.9779
太阳宫,116.448,39.9727
三元桥,116.457,39.9614
亮马桥,116.462,39.9494
农业展览馆,116.462,39.9416
团结湖,116.462,39.9337
呼家楼,116.462,39.9232
金台夕照,116.462,39.9167
国贸,116.46,39.9084
双井,116.462,39.8935
劲松,116.461,39.8844
潘家园,116.461,39.8755
十里河,116.458,39.8659
分钟寺,116.454,39.8519
成寿寺,116.447,39.8459
宋家庄,116.428,39.8457
石榴庄,116.414,39.8459
大红门,116.399,39.8454
角门东,116.385,39.8451
角门西,116.371,39.8459
草桥,116.351,39.8459
纪家庙,116.333,39.8444
首经贸,116.32,39.8445
丰台站,116.305,39.8499
泥洼,116.304,39.8582
西局,116.304,39.8665
六里桥,116.303,39.8803
莲花桥,116.31,39.8977
公主坟,116.31,39.9075
西钓鱼台,116.298,39.9233
慈寿寺,116.294,39.933
车道沟,116.294,39.9481
长春桥,116.294,39.9583
火器营,116.289,39.966
积水潭,116.373,39.9487
鼓楼大街,116.394,39.948
安定门,116.408,39.9492
雍和宫,116.417,39.9487
东直门,116.435,39.9424
东四十条,116.434,39.9337
朝阳门,116.433,39.9244
建国门,116.436,39.9086
北京站,116.427,39.905
崇文门,116.419,39.9008
前门,116.398,39.9002
和平门,116.384,39.9001
宣武门,116.374,39.8998
长椿街,116.363,39.8994
复兴门,116.357,39.9072
阜成门,116.356,39.9235
车公庄,116.355,39.9324
西直门,116.353,39.942
西直门,116.353,39.942
大钟寺,116.345,39.9666
知春路,116.34,39.9765
五道口,116.338,39.9929
上地,116.32,40.033
西二旗,116.306,40.0531
龙泽,116.319,40.0709
回龙观,116.336,40.0708
霍营,116.361,40.0705
立水桥,116.411,40.0527
北苑,116.435,40.043
望京西,116.447,39.995
芍药居,116.436,39.9779
光熙门,116.432,39.9684
柳芳,116.433,39.9583
东直门,116.435,39.9424
苏庄,116.125,39.7233
良乡南关,116.141,39.7233
良乡大学城西,116.156,39.7232
良乡大学城,116.176,39.7232
良乡大学城北,116.184,39.73
广阳城,116.185,39.748
篱笆房,116.19,39.7606
长阳,116.213,39.7638
稻田,116.219,39.7948
大葆台,116.291,39.8076
郭公庄,116.302,39.8144
南邵,116.287,40.2071
沙河高教园,116.28,40.1647
沙河,116.289,40.1483
巩华城,116.294,40.1309
朱辛庄,116.314,40.1043
生命科学园,116.294,40.0949
西二旗,116.306,40.0531
郭公庄,116.302,39.8144
丰台科技园,116.297,39.8252
科怡路,116.298,39.8324
丰台南路,116.297,39.8414
丰台东大街,116.294,39.8553
七里庄,116.294,39.8675
六里桥,116.303,39.8803
六里桥东,116.315,39.887
北京西站,116.321,39.895
军事博物馆,116.324,39.9074
白堆子,116.326,39.9239
白石桥南,116.325,39.933
国家图书馆,116.325,39.9432
四惠,116.496,39.9088
四惠东,116.515,39.9085
高碑店,116.532,39.9095
传媒大学,116.555,39.9092
双桥,116.577,39.9103
管庄,116.599,39.9092
八里桥,116.618,39.9059
通州北苑,116.637,39.9037
果园,116.646,39.8933
九棵树,116.658,39.8902
梨园,116.668,39.8838
临河里,116.679,39.8754
土桥,116.686,39.872
苹果园,116.178,39.9263
古城,116.19,39.9074
八角游乐园,116.213,39.9074
八宝山,116.236,39.9074
玉泉路,116.253,39.9074
五棵松,116.274,39.9075
万寿路,116.295,39.9075
公主坟,116.31,39.9075
军事博物馆,116.324,39.9074
木樨地,116.338,39.9074
南礼士路,116.352,39.9072
复兴门,116.357,39.9072
西单,116.376,39.9072
天安门西,116.392,39.9075
天安门东,116.402,39.9078
王府井,116.412,39.9081
东单,116.418,39.9083
建国门,116.436,39.9086
永安里,116.45,39.9085
国贸,116.46,39.9084
大望路,116.478,39.9083
